gene,invivo,invitro
AAGAB,ENST00000558725,ENST00000558725
AAMP,ENST00000420660,
AATF,ENST00000619387,ENST00000619387
ABRACL,ENST00000367660,ENST00000367660
ABT1,ENST00000274849,ENST00000274849
AC004148.2,ENST00000575890,ENST00000575890
AC010422.5,ENST00000597961,ENST00000597961
AC010619.2,ENST00000595815,ENST00000595815
AC011005.1,ENST00000467614,ENST00000467614
AC011448.1,"ENST00000586674
ENST00000555938","ENST00000586674
ENST00000555938"
AC012146.1,,ENST00000413077
AC013489.1,ENST00000561140,ENST00000561140
AC023055.1,ENST00000552719,ENST00000552719
AC073869.1,ENST00000438378,ENST00000438378
AC087632.1,ENST00000625619,ENST00000625619
AC092647.5,ENST00000426595,ENST00000426595
AC099329.1,ENST00000625589,ENST00000625589
AC104109.3,ENST00000519718,ENST00000519718
AC138811.2,ENST00000567078,ENST00000567078
AC139530.2,ENST00000571730,ENST00000571730
AC245033.1,ENST00000562833,ENST00000562833
ACAT1,ENST00000528370,ENST00000528370
ACAT2,ENST00000367048,ENST00000367048
ACLY,ENST00000537919,ENST00000537919
ACOT1,ENST00000311148,
ACP1,ENST00000405233,ENST00000405233
ACTB,ENST00000464611,ENST00000464611
ACTL6A,ENST00000392662,ENST00000392662
ACTR1A,ENST00000470322,
ADD3,,ENST00000360162
ADH5,"ENST00000508146
ENST00000503130","ENST00000508146
ENST00000503130"
ADHFE1,ENST00000523113,ENST00000523113
ADI1,ENST00000327435,ENST00000327435
ADIPOR1,ENST00000417068,ENST00000417068
AEN,ENST00000332810,
AGK,ENST00000473247,ENST00000473247
AHSA1,ENST00000555517,ENST00000555517
AIG1,ENST00000357847,ENST00000357847
AL035425.2,ENST00000563887,ENST00000563887
AL035425.3,ENST00000564206,ENST00000564206
AL035425.4,ENST00000624509,ENST00000624509
AL035458.2,ENST00000512005,ENST00000512005
AL162258.1,ENST00000497086,
AL360012.1,ENST00000602813,ENST00000602813
AL390195.1,ENST00000416099,ENST00000416099
AL513165.2,ENST00000544475,ENST00000544475
AL589765.4,ENST00000512280,
AL645465.1,ENST00000417765,ENST00000417765
AL662899.3,,ENST00000375880
ALDH9A1,ENST00000491436,ENST00000491436
ALDOA,ENST00000562679,ENST00000562679
ALG5,ENST00000486410,ENST00000486410
ALYREF,ENST00000505490,ENST00000505490
AMOT,"ENST00000462114
ENST00000524145","ENST00000462114
ENST00000524145"
ANAPC11,ENST00000574924,ENST00000574924
ANAPC5,ENST00000261819,ENST00000261819
ANP32A,ENST00000495764,ENST00000495764
ANP32B,ENST00000339399,ENST00000339399
ANP32E,ENST00000534437,ENST00000534437
ANXA7,ENST00000492380,ENST00000492380
AP000311.1,ENST00000429238,ENST00000429238
AP000350.4,ENST00000433835,ENST00000433835
AP000721.1,ENST00000535431,ENST00000535431
AP005263.1,ENST00000578850,ENST00000578850
AP1S1,ENST00000429457,ENST00000429457
AP1S2,ENST00000450644,ENST00000450644
AP2S1,ENST00000263270,ENST00000263270
APH1A,ENST00000236017,ENST00000236017
APRT,ENST00000378364,ENST00000378364
ARCN1,ENST00000359415,ENST00000359415
ARF1,ENST00000490705,ENST00000490705
ARF4,ENST00000495354,ENST00000495354
ARG2,ENST00000261783,
ARGLU1,ENST00000360629,ENST00000360629
ARIH2,ENST00000449376,ENST00000449376
ARL1,,ENST00000549302
ARL6IP5,ENST00000273258,ENST00000273258
ARPC3,ENST00000228825,ENST00000228825
ARPC4,ENST00000397261,ENST00000397261
ARPC5,ENST00000462965,ENST00000462965
ATF4,ENST00000404241,ENST00000404241
ATG3,ENST00000283290,ENST00000283290
ATG4C,ENST00000317868,ENST00000317868
ATIC,"ENST00000446622
ENST00000426233","ENST00000446622
ENST00000426233"
ATP1A1,ENST00000479960,ENST00000479960
ATP1B3,ENST00000475483,ENST00000475483
ATP2A1-AS1,ENST00000566956,ENST00000566956
ATP5A1,ENST00000592989,ENST00000592989
ATP5A1P2,ENST00000616464,ENST00000616464
ATP5B,ENST00000262030,ENST00000262030
ATP5C1,ENST00000356708,ENST00000356708
ATP5E,ENST00000243997,ENST00000243997
ATP5F1,ENST00000369722,ENST00000369722
ATP5G2,ENST00000394349,ENST00000394349
ATP5G3,ENST00000409194,ENST00000409194
ATP5H,ENST00000301587,ENST00000301587
ATP5I,ENST00000304312,ENST00000304312
ATP5J,ENST00000284971,ENST00000284971
